mouse,VO2max,measurement
1,5.62,First
2,5.13,First
3,5,First
4,5.76,First
5,6.1,First
6,5.11,First
7,5.63,First
8,5.4,First
9,4.62,First
10,5.06,First
11,4.29,First
12,5.24,First
13,4.81,First
14,5.84,First
15,5.34,First
16,5.53,First
17,5.59,First
18,5.75,First
19,4.41,First
20,4.63,First
21,5.59,First
22,5.14,First
23,5.18,First
24,5.13,First
25,4.8,First
26,5.69,First
27,5,First
28,4.98,First
29,5.33,First
30,5.15,First
31,4.79,First
32,5.95,First
33,5.91,First
34,4.78,First
1,5.84,Second
2,4.75,Second
3,5.65,Second
4,6.07,Second
5,5.22,Second
6,5.68,Second
7,6.1,Second
8,6.2,Second
9,5.54,Second
10,5.56,Second
11,5.41,Second
12,5.58,Second
13,5.04,Second
14,5.69,Second
15,5.66,Second
16,5.89,Second
17,4.8,Second
18,5.92,Second
19,5.15,Second
20,4.82,Second
21,6.42,Second
22,5.31,Second
23,5.3,Second
24,5.21,Second
25,4.64,Second
26,6.17,Second
27,3.7,Second
28,5.32,Second
29,5.86,Second
30,5.5,Second
31,5.46,Second
32,5.85,Second
33,6.04,Second
34,4.83,Second
